Iteration,Dimers_Count,GTPs_Count,GDPs-Count,Active Dimers - Count,Inactive Dimers - Count, Current GTPs, Current GDPs, Longest Protofilament Length,Micro Tubule length,Dimers in Main Structure,Dehydrolized Dimers Count, Mean Protofilament Length
10,700,0,700,0,700,0,0,0,0,0,0,0
20,700,0,700,0,700,0,0,0,0,0,0,0
30,700,0,700,0,700,0,0,0,0,0,0,0
40,700,0,700,0,700,0,0,0,0,0,0,0
50,700,0,700,0,700,0,0,0,0,0,0,0
60,700,657,0,43,657,0,0,0,0,0,0,0
70,700,609,0,92,608,0,0,0,0,0,0,0
80,700,576,0,125,575,0,0,0,0,0,0,0
90,700,532,0,169,531,0,0,0,0,0,0,0
100,700,491,0,210,490,0,0,0,0,0,0,0
110,700,460,0,241,459,0,0,0,0,0,0,0
120,700,436,0,265,435,0,0,0,0,0,0,0
130,700,420,0,281,419,0,0,0,0,0,0,0
140,700,402,0,295,400,0,0,5,0,5,1,0.384615384615385
150,700,381,0,316,379,0,0,5,0,5,1,0.384615384615385
160,700,370,0,327,368,0,0,5,0,5,1,0.384615384615385
170,700,356,0,340,354,0,0,5,0,6,2,0.461538461538462
180,700,338,0,358,336,0,0,5,0,6,2,0.461538461538462
190,700,321,0,375,319,0,0,5,0,6,2,0.461538461538462
200,700,308,0,388,306,0,0,5,0,6,2,0.461538461538462
210,700,301,0,395,299,0,0,5,0,6,2,0.461538461538462
220,700,293,0,401,291,0,0,5,0,8,3,0.615384615384615
230,700,283,0,407,281,0,0,6,0,12,3,0.923076923076923
240,700,272,0,418,270,0,0,6,0,12,3,0.923076923076923
250,700,268,0,422,266,0,0,6,0,12,3,0.923076923076923
260,700,263,0,427,261,0,0,6,0,12,3,0.923076923076923
270,700,261,0,429,259,0,0,6,0,12,3,0.923076923076923
280,700,256,0,434,254,0,0,6,0,12,3,0.923076923076923
290,700,247,0,443,245,0,0,6,0,12,3,0.923076923076923
300,700,244,0,445,242,0,0,6,0,13,3,1
310,700,239,0,448,237,0,0,8,0,15,3,1.15384615384615
320,700,233,0,454,231,0,0,8,0,15,3,1.15384615384615
330,700,227,0,460,225,0,0,8,0,15,3,1.15384615384615
340,700,221,0,465,219,0,0,8,0,16,3,1.23076923076923
350,700,216,0,470,214,0,0,8,0,16,3,1.23076923076923
360,700,213,0,472,211,0,0,9,0,17,3,1.30769230769231
370,700,208,0,477,206,0,0,9,0,17,3,1.30769230769231
380,700,203,0,482,201,0,0,9,0,17,3,1.30769230769231
390,700,201,0,484,199,0,0,9,0,17,3,1.30769230769231
400,700,198,0,487,196,0,0,9,0,17,3,1.30769230769231
410,700,196,0,489,194,0,0,9,0,17,3,1.30769230769231
420,700,191,0,493,189,0,0,10,0,18,3,1.38461538461538
430,700,186,0,491,184,0,0,11,0,25,4,1.92307692307692
440,700,186,0,491,184,0,0,11,0,25,4,1.92307692307692
450,700,183,0,488,181,0,0,13,0,31,4,2.38461538461538
460,700,182,0,489,180,0,0,13,0,31,4,2.38461538461538
470,700,179,0,492,177,0,0,13,0,31,4,2.38461538461538
480,700,176,0,495,174,0,0,13,0,31,4,2.38461538461538
490,700,172,0,499,170,0,0,13,0,31,4,2.38461538461538
500,700,167,0,504,165,0,0,13,0,31,4,2.38461538461538
510,700,165,0,504,163,0,0,13,0,33,4,2.53846153846154
520,700,160,0,509,158,0,0,13,0,33,4,2.53846153846154
530,700,158,0,511,156,0,0,13,0,33,4,2.53846153846154
540,700,156,0,509,154,0,0,13,0,37,5,2.84615384615385
550,700,153,0,512,151,0,0,13,0,37,5,2.84615384615385
560,700,150,0,515,148,0,0,13,0,37,5,2.84615384615385
570,700,148,0,517,146,0,0,13,0,37,5,2.84615384615385
580,700,147,0,518,145,0,0,13,0,37,5,2.84615384615385
590,700,145,0,520,143,0,0,13,0,37,5,2.84615384615385
600,700,144,0,521,142,0,0,13,0,37,5,2.84615384615385
610,700,141,0,524,139,0,0,13,0,37,5,2.84615384615385
620,700,141,0,524,139,0,0,13,0,37,5,2.84615384615385
630,700,140,0,525,138,0,0,13,0,37,5,2.84615384615385
640,700,139,12,526,149,0,0,13,0,25,5,1.92307692307692
650,700,134,12,531,144,0,0,13,0,25,5,1.92307692307692
660,700,134,12,531,144,0,0,13,0,25,5,1.92307692307692
670,700,134,12,529,144,0,0,13,0,27,6,2.07692307692308
680,700,132,12,528,142,0,0,13,0,30,6,2.30769230769231
690,700,144,0,528,142,0,0,13,0,30,6,2.30769230769231
700,700,139,0,532,138,0,0,13,0,30,6,2.30769230769231
710,700,138,0,532,137,0,0,13,0,31,6,2.38461538461538
720,700,135,0,535,134,0,0,13,0,31,8,2.38461538461538
730,700,134,0,535,133,0,0,13,0,32,11,2.46153846153846
740,700,131,0,537,131,0,0,13,0,32,11,2.46153846153846
750,700,131,0,537,131,0,0,13,0,32,11,2.46153846153846
760,700,130,0,538,130,0,0,13,0,32,11,2.46153846153846
770,700,128,0,540,128,0,0,13,0,32,11,2.46153846153846
780,700,126,4,542,130,0,0,13,0,28,8,2.07692307692308
790,700,124,10,544,134,0,0,6,0,22,8,1.69230769230769
800,700,122,11,545,133,0,0,6,0,22,7,1.69230769230769
810,700,122,11,544,133,0,0,6,0,23,7,1.76923076923077
820,700,119,11,547,130,0,0,6,0,23,7,1.76923076923077
830,700,123,7,547,130,0,0,6,0,23,7,1.76923076923077
840,700,129,1,547,130,0,0,6,0,23,7,1.76923076923077
850,700,128,0,549,128,0,0,6,0,23,7,1.76923076923077
860,700,127,0,550,127,0,0,6,0,23,7,1.76923076923077
870,700,126,0,551,126,0,0,6,0,23,7,1.76923076923077
880,700,125,0,550,125,0,0,7,0,25,7,1.92307692307692
890,700,122,0,553,122,0,0,7,0,25,7,1.92307692307692
900,700,122,0,551,122,0,0,8,0,27,7,2.07692307692308
910,700,122,0,551,122,0,0,8,0,27,7,2.07692307692308
920,700,120,0,553,120,0,0,8,0,27,7,2.07692307692308
930,700,119,0,553,119,0,0,8,0,28,12,2.15384615384615
940,700,119,0,553,119,0,0,8,0,28,12,2.15384615384615
950,700,118,0,552,118,0,0,8,0,30,13,2.30769230769231
960,700,118,0,552,118,0,0,8,0,30,13,2.30769230769231
970,700,117,0,553,117,0,0,8,0,30,13,2.30769230769231
980,700,114,0,556,114,0,0,8,0,30,13,2.30769230769231
990,700,111,0,559,111,0,0,8,0,30,13,2.30769230769231
1000,700,111,0,559,111,0,0,8,0,30,13,2.30769230769231
1010,700,110,0,560,110,0,0,8,0,30,13,2.30769230769231
1020,700,110,0,560,110,0,0,8,0,30,13,2.30769230769231
1030,700,110,3,560,113,0,0,8,0,27,10,2.07692307692308
1040,700,109,3,561,112,0,0,8,0,27,13,2.07692307692308
1050,700,106,4,562,110,0,0,8,0,28,12,2.15384615384615
1060,700,106,4,560,110,0,0,8,0,30,13,2.30769230769231
1070,700,105,4,561,109,0,0,8,0,30,13,2.30769230769231
1080,700,107,1,562,108,0,0,8,0,30,13,2.30769230769231
1090,700,106,1,562,107,0,0,8,0,31,13,2.38461538461538
1100,700,105,3,564,108,0,0,8,0,28,12,2.15384615384615
1110,700,105,4,564,109,0,0,8,0,27,11,2.07692307692308
1120,700,102,4,566,107,0,0,8,0,27,11,2.07692307692308
1130,700,101,5,566,107,0,0,8,0,27,10,2.07692307692308
1140,700,99,5,567,105,0,0,8,0,28,10,2.15384615384615
1150,700,101,2,568,104,0,0,8,0,28,10,2.15384615384615
1160,700,100,1,570,102,0,0,8,0,28,10,2.15384615384615
1170,700,98,1,570,100,0,0,8,0,30,11,2.30769230769231
1180,700,99,5,570,105,0,0,4,0,25,13,1.92307692307692
1190,700,99,5,570,105,0,0,4,0,25,13,1.92307692307692
1200,700,98,5,571,104,0,0,4,0,25,13,1.92307692307692
1210,700,97,6,572,104,0,0,4,0,24,12,1.84615384615385
1220,700,97,7,572,105,0,0,4,0,23,11,1.76923076923077
1230,700,102,2,571,105,0,0,4,0,24,11,1.84615384615385
1240,700,101,2,572,104,0,0,4,0,24,11,1.84615384615385
1250,700,100,5,573,106,0,0,4,0,21,10,1.61538461538462
1260,700,100,4,574,105,0,0,4,0,21,10,1.61538461538462
1270,700,101,3,574,105,0,0,4,0,21,10,1.61538461538462
1280,700,100,3,575,104,0,0,4,0,21,10,1.61538461538462
1290,700,98,3,577,102,0,0,4,0,21,10,1.61538461538462
1300,700,100,0,578,101,0,0,4,0,21,10,1.61538461538462
1310,700,99,0,578,100,0,0,4,0,22,11,1.69230769230769
1320,700,97,1,579,99,0,0,4,0,22,10,1.69230769230769
1330,700,95,1,580,97,0,0,4,0,23,10,1.76923076923077
1340,700,94,1,580,96,0,0,4,0,24,10,1.84615384615385
1350,700,93,1,581,95,0,0,4,0,24,10,1.84615384615385
1360,700,93,1,581,95,0,0,4,0,24,10,1.84615384615385
1370,700,94,0,581,95,0,0,4,0,24,10,1.84615384615385
1380,700,94,0,581,95,0,0,4,0,24,10,1.84615384615385
1390,700,92,0,583,93,0,0,4,0,24,10,1.84615384615385
1400,700,89,0,586,90,0,0,4,0,24,11,1.84615384615385
1410,700,89,0,584,90,0,0,5,0,26,12,2
1420,700,89,0,583,90,0,0,5,0,27,12,2.07692307692308
1430,700,87,0,585,88,0,0,5,0,27,12,2.07692307692308
1440,700,87,0,585,88,0,0,5,0,27,12,2.07692307692308
1450,700,86,0,585,87,0,0,5,0,28,13,2.15384615384615
1460,700,85,0,585,86,0,0,5,0,29,13,2.23076923076923
1470,700,85,2,584,88,0,0,5,0,28,12,2.15384615384615
1480,700,84,2,584,87,0,0,5,0,29,12,2.23076923076923
1490,700,83,2,585,86,0,0,5,0,29,12,2.23076923076923
1500,700,82,2,586,85,0,0,5,0,29,12,2.23076923076923
1510,700,81,2,587,84,0,0,5,0,29,12,2.23076923076923
1520,700,83,0,587,84,0,0,5,0,29,12,2.23076923076923
1530,700,83,0,587,84,0,0,5,0,29,12,2.23076923076923
1540,700,83,0,586,84,0,0,6,0,30,12,2.30769230769231
1550,700,83,0,586,84,0,0,6,0,30,13,2.30769230769231
1560,700,82,1,586,84,0,0,7,0,30,13,2.30769230769231
1570,700,81,2,586,84,0,0,7,0,30,12,2.30769230769231
1580,700,81,2,584,84,0,0,7,0,32,12,2.46153846153846
1590,700,76,2,589,79,0,0,7,0,32,12,2.46153846153846
1600,700,74,2,590,77,0,0,7,0,33,13,2.53846153846154
1610,700,74,1,591,76,0,0,7,0,33,13,2.53846153846154
1620,700,75,0,591,76,0,0,7,0,33,13,2.53846153846154
1630,700,74,0,592,75,0,0,7,0,33,15,2.53846153846154
1640,700,73,0,593,74,0,0,7,0,33,15,2.53846153846154
1650,700,70,0,596,71,0,0,7,0,33,15,2.53846153846154
1660,700,70,0,595,71,0,0,7,0,34,16,2.61538461538462
1670,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1680,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1690,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1700,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1710,700,68,1,595,70,0,0,7,0,35,17,2.69230769230769
1720,700,69,0,595,70,0,0,7,0,35,17,2.69230769230769
1730,700,69,0,594,70,0,0,7,0,36,18,2.76923076923077
1740,700,69,0,594,70,0,0,7,0,36,18,2.76923076923077
1750,700,69,0,593,70,0,0,7,0,37,18,2.84615384615385
1760,700,69,0,593,70,0,0,7,0,37,18,2.84615384615385
1770,700,68,0,594,69,0,0,7,0,37,18,2.84615384615385
1780,700,68,0,594,69,0,0,7,0,37,18,2.84615384615385
1790,700,68,0,593,69,0,0,8,0,38,18,2.92307692307692
1800,700,67,0,593,68,0,0,8,0,39,18,3
1810,700,67,0,593,68,0,0,8,0,39,19,3
1820,700,67,0,593,68,0,0,8,0,39,20,3
1830,700,67,5,593,73,0,0,8,0,34,20,2.61538461538462
1840,700,67,5,591,73,0,0,8,0,36,21,2.76923076923077
1850,700,67,9,589,77,0,0,9,0,34,19,2.61538461538462
1860,700,66,9,590,76,0,0,9,0,34,19,2.61538461538462
1870,700,64,9,590,74,0,0,9,0,36,19,2.76923076923077
1880,700,68,12,589,82,0,0,8,0,29,17,2.23076923076923
1890,700,68,13,589,83,0,0,8,0,28,16,2.07692307692308
1900,700,71,14,590,87,0,0,4,0,23,15,1.76923076923077
1910,700,71,15,590,88,0,0,4,0,22,14,1.69230769230769
1920,700,70,15,590,88,0,0,4,0,22,15,1.69230769230769
1930,700,78,7,590,88,0,0,4,0,22,15,1.69230769230769
1940,700,79,6,589,88,0,0,4,0,23,15,1.76923076923077
1950,700,84,1,589,88,0,0,4,0,23,15,1.76923076923077
1960,700,85,1,589,89,0,0,4,0,22,15,1.69230769230769
1970,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
1980,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
1990,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
2000,700,84,1,589,88,0,0,4,0,23,15,1.76923076923077
2010,700,84,0,590,87,0,0,4,0,23,15,1.76923076923077
2020,700,83,0,591,86,0,0,4,0,23,15,1.76923076923077
2030,700,80,0,594,83,0,0,4,0,23,15,1.76923076923077
2040,700,79,0,595,82,0,0,4,0,23,15,1.76923076923077
2050,700,78,0,595,81,0,0,4,0,24,15,1.84615384615385
2060,700,78,0,595,81,0,0,4,0,24,15,1.84615384615385
2070,700,77,0,595,80,0,0,4,0,25,16,1.92307692307692
2080,700,76,0,596,79,0,0,4,0,25,16,1.92307692307692
2090,700,74,0,597,77,0,0,4,0,26,16,2
2100,700,71,0,600,74,0,0,4,0,26,16,2
2110,700,70,0,601,73,0,0,4,0,26,16,2
2120,700,70,0,600,73,0,0,4,0,27,16,2.07692307692308
2130,700,70,0,600,73,0,0,4,0,27,16,2.07692307692308
2140,700,69,0,601,72,0,0,4,0,27,16,2.07692307692308
2150,700,68,0,602,71,0,0,4,0,27,16,2.07692307692308
2160,700,68,0,602,71,0,0,4,0,27,16,2.07692307692308
2170,700,67,0,603,70,0,0,4,0,27,17,2.07692307692308
2180,700,66,1,604,70,0,0,4,0,26,16,2
2190,700,65,2,605,70,0,0,4,0,25,15,1.92307692307692
2200,700,65,2,605,70,0,0,4,0,25,15,1.92307692307692
2210,700,62,2,606,68,0,0,4,0,26,15,2
2220,700,62,2,605,68,0,0,4,0,27,16,2.07692307692308
2230,700,63,3,605,70,0,0,4,0,25,14,1.92307692307692
2240,700,64,2,605,70,0,0,4,0,25,14,1.92307692307692
2250,700,64,2,605,70,0,0,4,0,25,14,1.92307692307692
2260,700,63,4,606,71,0,0,4,0,23,12,1.76923076923077
2270,700,63,4,605,71,0,0,4,0,24,12,1.84615384615385
2280,700,65,2,605,71,0,0,4,0,24,12,1.84615384615385
2290,700,64,2,604,70,0,0,4,0,26,12,2
2300,700,62,2,603,68,0,0,5,0,29,12,2.23076923076923
2310,700,64,0,602,68,0,0,5,0,30,12,2.30769230769231
2320,700,64,0,602,68,0,0,5,0,30,12,2.30769230769231
2330,700,63,0,603,67,0,0,5,0,30,12,2.30769230769231
2340,700,63,0,603,67,0,0,5,0,30,12,2.30769230769231
2350,700,62,0,604,66,0,0,5,0,30,13,2.30769230769231
2360,700,62,0,604,66,0,0,5,0,30,13,2.30769230769231
2370,700,62,0,604,66,0,0,5,0,30,14,2.30769230769231
2380,700,61,0,605,65,0,0,5,0,30,15,2.30769230769231
2390,700,61,0,605,65,0,0,5,0,30,15,2.30769230769231
2400,700,61,0,603,65,0,0,5,0,32,15,2.46153846153846
2410,700,61,0,602,65,0,0,5,0,33,15,2.53846153846154
2420,700,60,0,603,64,0,0,5,0,33,15,2.53846153846154
2430,700,59,0,604,63,0,0,5,0,33,15,2.53846153846154
2440,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2450,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2460,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2470,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2480,700,57,5,606,66,0,0,5,0,28,12,2.15384615384615
2490,700,57,5,606,66,0,0,5,0,28,12,2.15384615384615
2500,700,57,5,606,66,0,0,5,0,28,13,2.15384615384615
2510,700,57,5,606,66,0,0,5,0,28,13,2.15384615384615
2520,700,57,5,605,66,0,0,5,0,29,13,2.23076923076923
2530,700,62,0,604,66,0,0,5,0,30,14,2.30769230769231
2540,700,61,0,604,66,0,0,5,0,30,14,2.30769230769231
2550,700,61,0,602,66,0,0,5,0,32,15,2.46153846153846
2560,700,61,0,602,66,0,0,5,0,32,15,2.46153846153846
2570,700,60,0,601,65,0,0,5,0,34,15,2.61538461538462
2580,700,60,0,601,65,0,0,5,0,34,15,2.61538461538462
2590,700,60,0,600,65,0,0,6,0,35,16,2.69230769230769
2600,700,60,1,599,66,0,0,6,0,35,15,2.69230769230769
2610,700,60,1,598,66,0,0,6,0,36,15,2.76923076923077
2620,700,60,1,598,66,0,0,6,0,36,16,2.76923076923077
2630,700,59,1,598,65,0,0,6,0,37,16,2.84615384615385
2640,700,59,1,598,65,0,0,6,0,37,16,2.84615384615385
2650,700,59,0,599,64,0,0,6,0,37,16,2.84615384615385
2660,700,57,0,599,62,0,0,6,0,39,16,3
2670,700,56,0,600,61,0,0,6,0,39,16,3
2680,700,56,0,600,61,0,0,6,0,39,16,3
2690,700,53,0,604,57,0,0,6,0,39,16,3
2700,700,53,0,604,57,0,0,6,0,39,16,3
2710,700,53,0,603,57,0,0,6,0,40,17,3.07692307692308
2720,700,53,0,603,57,0,0,6,0,40,18,3.07692307692308
2730,700,53,0,603,57,0,0,6,0,40,18,3.07692307692308
2740,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2750,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2760,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2770,700,52,1,602,57,0,0,7,0,41,18,3.15384615384615
2780,700,52,1,601,57,0,0,7,0,42,18,3.23076923076923
2790,700,52,1,601,57,0,0,7,0,42,20,3.23076923076923
2800,700,52,1,601,57,0,0,7,0,42,24,3.23076923076923
2810,700,52,1,601,57,0,0,7,0,42,24,3.23076923076923
2820,700,53,0,601,57,0,0,7,0,42,24,3.23076923076923
2830,700,53,0,599,57,0,0,7,0,44,24,3.38461538461538
2840,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2850,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2860,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2870,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2880,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2890,700,53,0,595,57,0,0,7,0,48,24,3.69230769230769
2900,700,53,1,594,58,0,0,7,0,48,25,3.69230769230769
2910,700,53,2,594,59,0,0,7,0,47,25,3.61538461538462
2920,700,50,2,595,56,0,0,7,0,49,25,3.76923076923077
2930,700,49,2,596,55,0,0,7,0,49,25,3.76923076923077
2940,700,49,5,596,58,0,0,7,0,46,24,3.53846153846154
2950,700,49,4,597,57,0,0,7,0,46,24,3.53846153846154
2960,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2970,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2980,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2990,700,53,0,594,57,0,0,8,0,49,24,3.76923076923077
3000,700,51,1,595,57,0,0,8,0,48,23,3.69230769230769
3010,700,50,6,596,61,0,0,8,0,43,21,3.30769230769231
3020,700,50,6,596,61,0,0,8,0,43,22,3.30769230769231
3030,700,49,6,596,61,0,0,8,0,43,22,3.30769230769231
3040,700,49,6,595,61,0,0,8,0,44,22,3.38461538461538
3050,700,50,5,595,61,0,0,8,0,44,24,3.38461538461538
3060,700,52,0,594,60,0,0,8,0,46,24,3.53846153846154
3070,700,52,0,593,60,0,0,8,1,47,24,3.61538461538462
3080,700,52,0,591,60,0,0,8,1,49,25,3.76923076923077
3090,700,52,0,591,60,0,0,8,1,49,26,3.76923076923077
3100,700,52,4,588,64,0,0,8,1,48,26,3.69230769230769
3110,700,52,4,587,64,0,0,8,1,49,27,3.76923076923077
3120,700,52,4,587,64,0,0,8,1,49,27,3.76923076923077
3130,700,51,7,587,66,0,0,8,1,47,26,3.61538461538462
3140,700,50,7,588,65,0,0,8,1,47,26,3.61538461538462
3150,700,54,9,587,71,0,0,8,1,42,23,3.23076923076923
3160,700,53,9,585,70,0,0,8,1,45,23,3.46153846153846
3170,700,53,9,584,70,0,0,8,1,46,23,3.53846153846154
3180,700,55,6,585,69,0,0,8,1,46,23,3.53846153846154
3190,700,55,6,585,69,0,0,8,1,46,23,3.53846153846154
3200,700,61,0,585,69,0,0,8,1,46,23,3.53846153846154
3210,700,61,0,585,69,0,0,8,1,46,23,3.53846153846154
3220,700,60,0,586,68,0,0,8,1,46,23,3.53846153846154
3230,700,59,0,585,67,0,0,10,1,48,23,3.69230769230769
3240,700,59,0,584,67,0,0,10,1,49,24,3.76923076923077
3250,700,59,0,584,67,0,0,10,1,49,24,3.76923076923077
3260,700,59,0,582,67,0,0,10,1,51,24,3.92307692307692
3270,700,58,0,580,66,0,0,11,2,54,24,4.15384615384615
3280,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3290,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3300,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3310,700,57,0,580,65,0,0,12,2,55,24,4.23076923076923
3320,700,57,0,580,65,0,0,12,2,55,24,4.23076923076923
3330,700,56,2,581,66,0,0,12,2,53,23,4.07692307692308
3340,700,56,2,581,66,0,0,12,2,53,25,4.07692307692308
3350,700,56,2,581,66,0,0,12,2,53,25,4.07692307692308
3360,700,56,6,581,70,0,0,12,2,49,24,3.61538461538462
3370,700,56,10,581,74,0,0,6,2,45,24,3.46153846153846
3380,700,57,8,580,73,0,0,7,2,47,24,3.61538461538462
3390,700,57,8,580,73,0,0,7,2,47,25,3.61538461538462
3400,700,57,8,580,73,0,0,7,2,47,26,3.61538461538462
3410,700,61,4,580,73,0,0,7,2,47,27,3.61538461538462
3420,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3430,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3440,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3450,700,64,0,581,72,0,0,7,2,47,27,3.61538461538462
3460,700,64,0,581,72,0,0,7,2,47,27,3.61538461538462
3470,700,63,0,582,71,0,0,7,2,47,27,3.61538461538462
3480,700,62,0,583,70,0,0,7,2,47,28,3.61538461538462
